datos,model,prompt,lang,accuracy,recall,precision,f1,matthews
original,mistralai/Mistral-7B-Instruct-v0.3,2 en,en,0.5238095238095238,0.4574684574684575,0.4733693207377418,0.44490460157126827,
original,mistralai/Mistral-7B-Instruct-v0.3,1 en,es,0.3492063492063492,0.3387260887260887,0.31921470342522973,0.29522648488165726,
original,mistralai/Mistral-7B-Instruct-v0.3,1 es,es,0.36507936507936506,0.433943833943834,0.3996632607158923,0.36674994696773283,
original,mistralai/Mistral-7B-Instruct-v0.3,1 en,en,0.5238095238095238,0.4574684574684575,0.4733693207377418,0.44490460157126827,
original,mistralai/Mistral-7B-Instruct-v0.3,4 en,es,0.3492063492063492,0.3387260887260887,0.31921470342522973,0.29522648488165726,
original,mistralai/Mistral-7B-Instruct-v0.3,4 es,es,0.36507936507936506,0.433943833943834,0.3996632607158923,0.36674994696773283,
original,mistralai/Mistral-7B-Instruct-v0.3,4 en,en,0.5238095238095238,0.4574684574684575,0.4733693207377418,0.44490460157126827,
original,google/gemma-2-2b-it,3 en,es,0.3333333333333333,0.36361416361416365,0.3345454545454546,0.3375897435897436,
original,google/gemma-2-2b-it,3 es,es,0.3492063492063492,0.37216117216117217,0.3499666999667,0.34719653747786744,
original,google/gemma-2-2b-it,3 en,en,0.3968253968253968,0.4048840048840049,0.3794444444444444,0.3771543271543272,
original,google/gemma-2-2b-it,2 en,es,0.3333333333333333,0.37423687423687424,0.33926573426573425,0.34619839660001933,
original,google/gemma-2-2b-it,2 es,es,0.30158730158730157,0.32503052503052504,0.3023076923076923,0.3053807303807304,
original,google/gemma-2-2b-it,2 en,en,0.42857142857142855,0.41550671550671553,0.40323536113009795,0.4015384615384615,
original,google/gemma-2-2b-it,1 en,es,0.36507936507936506,0.39230769230769236,0.36996336996337,0.37701187701187705,
original,google/gemma-2-2b-it,1 es,es,0.3333333333333333,0.37326007326007327,0.3311538461538462,0.3469249187878418,
original,google/gemma-2-2b-it,1 en,en,0.42857142857142855,0.42344322344322344,0.39981962481962485,0.40102564102564103,
original,google/gemma-2-2b-it,4 en,es,0.3333333333333333,0.36361416361416365,0.33073260073260075,0.33830595813204506,
original,google/gemma-2-2b-it,4 es,es,0.3492063492063492,0.37216117216117217,0.3448051948051948,0.34751131221719456,
original,google/gemma-2-2b-it,4 en,en,0.4126984126984127,0.425030525030525,0.40820261437908495,0.40128340174106764,
